id,title,date,description,favorited,createdAt,updatedAt
49,"Full Moon.","November 12","waiting on this",0,"2019-05-10 04:03:21","2019-05-10 04:03:21"
50,"Leonids Meteor Shower.","November 17, 18","waiting on this",0,"2019-05-10 04:03:21","2019-05-10 04:03:21"
51,"Conjunction of Venus and Jupiter.","November 24","waiting on this",0,"2019-05-10 04:03:21","2019-05-10 04:03:21"
52,"New Moon.","November 26","waiting on this",0,"2019-05-10 04:03:21","2019-05-10 04:03:21"
53,"Mercury at Greatest Western Elongation.","November 28","waiting on this",0,"2019-05-10 04:03:21","2019-05-10 04:03:21"
54,"Full Moon.","December 12","waiting on this",0,"2019-05-10 04:03:21","2019-05-10 04:03:21"
55,"Geminids Meteor Shower. ","December 13, 14","waiting on this",0,"2019-05-10 04:03:21","2019-05-10 04:03:21"
56,"December Solstice.","December 22","waiting on this",0,"2019-05-10 04:03:21","2019-05-10 04:03:21"
57,"Ursids Meteor Shower.","December 21, 22","waiting on this",0,"2019-05-10 04:03:21","2019-05-10 04:03:21"
58,"New Moon.","December 26","waiting on this",0,"2019-05-10 04:03:21","2019-05-10 04:03:21"
59,"Annular Solar Eclipse.","December 26","waiting on this",0,"2019-05-10 04:03:21","2019-05-10 04:03:21"
